,city,date,variable,value
253,la,2021-02-01,Dwell time per visit,92.89806717155948
254,la,2021-03-01,Dwell time per visit,94.21578045421484
255,la,2021-04-01,Dwell time per visit,95.35673704002964
256,la,2021-05-01,Dwell time per visit,95.53409281020842
257,la,2021-06-01,Dwell time per visit,98.32830099077718
258,la,2021-07-01,Dwell time per visit,98.15997182142223
259,la,2021-08-01,Dwell time per visit,98.47189192958889
260,la,2021-09-01,Dwell time per visit,99.0965802491256
261,la,2021-10-01,Dwell time per visit,98.67990270804417
262,la,2021-11-01,Dwell time per visit,99.6642286920736
263,la,2021-12-01,Dwell time per visit,100.07263030118537
264,dallas,2020-01-01,Dwell time per visit,100.49040869334556
265,dallas,2020-02-01,Dwell time per visit,99.50959130665444
266,dallas,2020-03-01,Dwell time per visit,95.21088845204953
267,dallas,2020-04-01,Dwell time per visit,83.02652399539463
268,dallas,2020-05-01,Dwell time per visit,84.63958988813587
269,dallas,2020-06-01,Dwell time per visit,92.06312227647001
270,dallas,2020-07-01,Dwell time per visit,91.93627339971147
271,dallas,2020-08-01,Dwell time per visit,92.59482230018781
272,dallas,2020-09-01,Dwell time per visit,94.61036930992161
273,dallas,2020-10-01,Dwell time per visit,94.82012895941557
274,dallas,2020-11-01,Dwell time per visit,95.67488655948046
275,dallas,2020-12-01,Dwell time per visit,95.74507617083508
276,dallas,2021-01-01,Dwell time per visit,96.19739190436323
277,dallas,2021-02-01,Dwell time per visit,94.18315196642735
278,dallas,2021-03-01,Dwell time per visit,96.56609282474298
279,dallas,2021-04-01,Dwell time per visit,96.18337842247827
280,dallas,2021-05-01,Dwell time per visit,96.09712578399537
281,dallas,2021-06-01,Dwell time per visit,98.72933051232442
282,dallas,2021-07-01,Dwell time per visit,97.78662137871503
283,dallas,2021-08-01,Dwell time per visit,98.93387440268839
284,dallas,2021-09-01,Dwell time per visit,98.95478513856155
285,dallas,2021-10-01,Dwell time per visit,98.34427091326121
286,dallas,2021-11-01,Dwell time per visit,100.4101253067877
287,dallas,2021-12-01,Dwell time per visit,100.00357867791581
288,boston,2020-01-01,Unique POIs visited,97.6722126602062
289,boston,2020-02-01,Unique POIs visited,102.32778733979379
290,boston,2020-03-01,Unique POIs visited,72.38352792598639
291,boston,2020-04-01,Unique POIs visited,40.70314714267603
292,boston,2020-05-01,Unique POIs visited,48.30402234642409
293,boston,2020-06-01,Unique POIs visited,62.103586759674045
294,boston,2020-07-01,Unique POIs visited,76.87499322568182
295,boston,2020-08-01,Unique POIs visited,75.69311679713181
296,boston,2020-09-01,Unique POIs visited,76.07683971652803
297,boston,2020-10-01,Unique POIs visited,76.24953883696921
298,boston,2020-11-01,Unique POIs visited,65.283987033506
299,boston,2020-12-01,Unique POIs visited,62.6838618442376
300,boston,2021-01-01,Unique POIs visited,69.33362798581466
301,boston,2021-02-01,Unique POIs visited,68.96975196986679
302,boston,2021-03-01,Unique POIs visited,80.53087079134522
303,boston,2021-04-01,Unique POIs visited,84.45308436537292
304,boston,2021-05-01,Unique POIs visited,86.72196179278153
305,boston,2021-06-01,Unique POIs visited,90.97108831521258
306,boston,2021-07-01,Unique POIs visited,99.27444240883682
307,boston,2021-08-01,Unique POIs visited,96.71981495621463
308,boston,2021-09-01,Unique POIs visited,98.4503550281157
309,boston,2021-10-01,Unique POIs visited,108.29566983581093
310,boston,2021-11-01,Unique POIs visited,92.00532974007415
311,boston,2021-12-01,Unique POIs visited,91.65941244194407
312,seattle,2020-01-01,Unique POIs visited,95.0052397132391
313,seattle,2020-02-01,Unique POIs visited,104.9947602867609
314,seattle,2020-03-01,Unique POIs visited,65.67234480421068
315,seattle,2020-04-01,Unique POIs visited,46.8996304170337
316,seattle,2020-05-01,Unique POIs visited,50.18388440396646
317,seattle,2020-06-01,Unique POIs visited,63.16614031855606
318,seattle,2020-07-01,Unique POIs visited,73.27956865519208
319,seattle,2020-08-01,Unique POIs visited,72.15693127717108
320,seattle,2020-09-01,Unique POIs visited,71.05379321880321
321,seattle,2020-10-01,Unique POIs visited,74.45346428298566
322,seattle,2020-11-01,Unique POIs visited,60.541561419610815
323,seattle,2020-12-01,Unique POIs visited,57.42372887700612
324,seattle,2021-01-01,Unique POIs visited,62.30408253324724
325,seattle,2021-02-01,Unique POIs visited,69.86335347538422
326,seattle,2021-03-01,Unique POIs visited,75.79323449675381
327,seattle,2021-04-01,Unique POIs visited,84.69360749571761
328,seattle,2021-05-01,Unique POIs visited,81.41886211498462
329,seattle,2021-06-01,Unique POIs visited,86.53206486288478
330,seattle,2021-07-01,Unique POIs visited,97.03721112132854
331,seattle,2021-08-01,Unique POIs visited,92.81901675592378
332,seattle,2021-09-01,Unique POIs visited,93.46135198713037
333,seattle,2021-10-01,Unique POIs visited,97.28276076434176
334,seattle,2021-11-01,Unique POIs visited,83.83537683110423
335,seattle,2021-12-01,Unique POIs visited,84.91867070861612
336,la,2020-01-01,Unique POIs visited,97.00103466284715
337,la,2020-02-01,Unique POIs visited,102.99896533715285
338,la,2020-03-01,Unique POIs visited,72.44097221769174
339,la,2020-04-01,Unique POIs visited,43.85537422544329
340,la,2020-05-01,Unique POIs visited,51.593348696647865
341,la,2020-06-01,Unique POIs visited,65.53430452383381
342,la,2020-07-01,Unique POIs visited,69.06461402755416
343,la,2020-08-01,Unique POIs visited,66.06635107847444
344,la,2020-09-01,Unique POIs visited,68.35846332510751
345,la,2020-10-01,Unique POIs visited,72.5827833160335
346,la,2020-11-01,Unique POIs visited,62.52803085439076
347,la,2020-12-01,Unique POIs visited,55.1198743223194
348,la,2021-01-01,Unique POIs visited,58.9569173140229
349,la,2021-02-01,Unique POIs visited,67.86476400645356
350,la,2021-03-01,Unique POIs visited,76.94927684787334
351,la,2021-04-01,Unique POIs visited,84.69189007711972
352,la,2021-05-01,Unique POIs visited,84.86514169372813
353,la,2021-06-01,Unique POIs visited,90.33237031067591
354,la,2021-07-01,Unique POIs visited,99.28286827236676
355,la,2021-08-01,Unique POIs visited,95.15358188817407
356,la,2021-09-01,Unique POIs visited,96.9989026577707
357,la,2021-10-01,Unique POIs visited,101.95205938462374
358,la,2021-11-01,Unique POIs visited,88.47478232261734
359,la,2021-12-01,Unique POIs visited,89.53489259741136
360,dallas,2020-01-01,Unique POIs visited,97.05653049879221
361,dallas,2020-02-01,Unique POIs visited,102.9434695012078
362,dallas,2020-03-01,Unique POIs visited,72.35037766654982
363,dallas,2020-04-01,Unique POIs visited,44.8936989622554
364,dallas,2020-05-01,Unique POIs visited,62.893580189960446
365,dallas,2020-06-01,Unique POIs visited,76.98785663228801
366,dallas,2020-07-01,Unique POIs visited,77.87659085643095
367,dallas,2020-08-01,Unique POIs visited,76.0815419879009
368,dallas,2020-09-01,Unique POIs visited,80.69920759083674
369,dallas,2020-10-01,Unique POIs visited,84.75522823422854
370,dallas,2020-11-01,Unique POIs visited,73.05333096666072
371,dallas,2020-12-01,Unique POIs visited,71.17202799286312
372,dallas,2021-01-01,Unique POIs visited,77.64789116116586
373,dallas,2021-02-01,Unique POIs visited,72.65637433762139
374,dallas,2021-03-01,Unique POIs visited,90.64310383621985
375,dallas,2021-04-01,Unique POIs visited,95.14730732821779
376,dallas,2021-05-01,Unique POIs visited,91.47131198467763
377,dallas,2021-06-01,Unique POIs visited,94.99815548599494
378,dallas,2021-07-01,Unique POIs visited,103.55730711462854
379,dallas,2021-08-01,Unique POIs visited,98.50638971302187
380,dallas,2021-09-01,Unique POIs visited,100.76381264616832
381,dallas,2021-10-01,Unique POIs visited,107.55839085217548
382,dallas,2021-11-01,Unique POIs visited,92.38996689479202
383,dallas,2021-12-01,Unique POIs visited,94.81322575141654
